"FIPS","State","County","PCT_NHWHITE10","PCT_NHBLACK10","PCT_HISP10","PCT_NHASIAN10","PCT_NHNA10","PCT_NHPI10","PCT_65OLDER10","PCT_18YOUNGER10","MEDHHINC15","POVRATE15","PERPOV10","CHILDPOVRATE15","PERCHLDPOV10","METRO13","POPLOSS10"
"18117","IN","Orange","96.49193548387098","0.8467741935483872","0.9778225806451614","0.3074596774193549","0.2620967741935484","0.01008064516129032","15.78629032258065","24.6320564516129","40918","15.7","0","24.3","0","0","0"
"18119","IN","Owen","97.25608342989571","0.3012746234067208","0.917728852838934","0.3012746234067208","0.3337195828505214","0.004634994206257242","14.79490150637312","23.22595596755504","43731","15.8","0","24.8","0","1","0"
"18121","IN","Parke","95.42072783897572","2.255032008766365","1.239979237556952","0.1903223946017648","0.3056693004210162","0.02306938116385028","15.6237383932176","21.41415306534402","43637","17.2","0","25","0","0","0"
"18123","IN","Perry","95.29423932154307","2.425276657358569","0.9928637914986037","0.3568104250698108","0.1758196297445444","0.02068466232288758","15.17737097941876","21.42413900093081","47192","13.2","0","18","0","0","0"
"18125","IN","Pike","97.65667574931879","0.2958349552355002","0.9342156481121059","0.1946282600233554","0.1946282600233554","0.02335539120280265","16.93265862203192","22.42117555469054","47324","11.1","0","16.2","0","0","0"
"18127","IN","Porter","85.94403168981947","2.828839682858412","8.4780002799024","1.192627614197137","0.2123607333442861","0.01886298777556696","12.39054903464096","24.29126887059382","66070","11.6","0","14.8","0","1","0"
"18129","IN","Posey","96.66538016209958","0.8876881512929371","0.9571593979158626","0.2701659590891548","0.1620995754534929","0.01543805480509456","14.39984561945195","23.6896950984176","58298","9.699999999999999","0","12.9","0","1","0"
"18131","IN","Pulaski","95.67974929115057","0.6491568422623489","2.425011192359349","0.2014624682883152","0.2835397701835547","0.02238471869870168","16.74376958662886","23.862110132816","47455","14.2","0","21.1","0","0","0"
"18133","IN","Putnam","92.53220240760741","3.911703500777072","1.54624239390986","0.7191212496378052","0.2370729394410347","0.02634143771567053","13.51579169191054","21.06261359745015","53910","13.6","0","17.6","0","1","0"
"18135","IN","Randolph","95.12437430743952","0.4355966527836154","3.018608383325054","0.2177983263918077","0.3171449314126323","0.03056818616025372","17.09907913339192","24.38959153261244","41315","18","0","27.1","0","0","0"
"18137","IN","Ripley","96.74161982094525","0.2324935804011382","1.544173780276216","0.5066278020681518","0.1283919772364494","0.01041016031646887","14.85529877160108","26.33770560066625","51553","10.6","0","15.4","0","0","0"
"18139","IN","Rush","96.8203771849126","0.7417203311867525","1.09245630174793","0.327736890524379","0.1839926402943882","0.0172493100275989","15.76011959521619","24.76425942962281","48970","13.9","0","20.4","0","0","0"
"18141","IN","St. Joseph","75.56297320281271","12.5152192888799","7.265922654169055","1.867523817016382","0.2963312616369024","0.06743315688323949","13.32366791418007","24.66967118843446","46881","16.7","0","24.5","0","1","0"
"18143","IN","Scott","97.0638104296762","0.2150448699392085","1.463959306893842","0.4300897398784169","0.1778255655266532","0.05789669575286382","13.41962697986022","24.03539969397461","43104","15.6","0","24","0","1","0"
"18145","IN","Shelby","93.66729678638941","0.9631830047709065","3.706454226302998","0.5446034746601854","0.191286344405437","0.01575299306868305","13.92564587271582","24.40588711855252","54639","11.9","0","17.2","0","1","0"
"18147","IN","Spencer","95.93833524245895","0.4581901489117984","2.467544864452081","0.3293241695303551","0.1813669339442535","0","15.01050019091256","24.1647575410462","56451","9.4","0","12","0","0","0"
"18149","IN","Starke","95.07340666866413","0.2696571501947524","3.278688524590164","0.1754911612378547","0.2610966057441254","0","15.30197320549587","24.38043059538587","48106","14.8","0","23","0","0","0"
"18151","IN","Steuben","95.10896592072547","0.4534152406026035","2.872604943688752","0.4738920579201404","0.2369460289600702","0.01755155770074594","14.88957144946614","22.91940909755741","53191","10.1","0","16","0","0","0"
